gdp_per_capita,life_expectancy,social_support,score
1.39651,0.94143,1.6526307481474298,7.587
1.30232,0.94784,1.62828608371123,7.561
1.32548,0.87464,1.6204688447260325,7.527
1.459,0.88521,1.6503758771199395,7.522
1.32629,0.90563,1.6072986598298258,7.427
1.29025,0.88911,1.596977537281109,7.406
1.32944,0.89284,1.598456083329656,7.378
1.33171,0.91087,1.6053140758322415,7.364
1.25018,0.90837,1.573997661737799,7.286
1.33358,0.93156,1.5956946972663146,7.284
1.22857,0.91387,1.5475126913382022,7.278
0.95578,0.86027,1.5048556522584535,7.226
1.33723,0.89042,1.5771501031465116,7.2
1.02054,0.81444,1.4902320214228528,7.187
1.39451,0.86179,1.563518216036954,7.119
0.98124,0.69702,1.432381973824953,6.983
1.56391,0.91894,1.5814353928205012,6.946
1.33596,0.89533,1.535817948832156,6.94
1.30782,0.89667,1.5281739480018048,6.937
1.42727,0.80925,1.5404373939338825,6.901
1.26637,0.90943,1.513447383470059,6.867
1.36011,0.76276,1.5148530037784096,6.853
1.04424,0.72052,1.420012462102553,6.81
1.52186,1.02525,1.563645654449898,6.798
1.06353,0.79661,1.4454271648849115,6.786
1.32792,0.89186,1.5113817777428658,6.75
1.10715,0.85857,1.4320555259390388,6.67
1.69042,0.79733,1.5473753027639563,6.611
1.27778,0.94579,1.473585048161295,6.575
1.05351,0.78723,1.4002099376999002,6.574
1.17898,0.84483,1.4218275080046603,6.505
1.06166,0.8116,1.408633137460737,6.485
0.91861,0.69077,1.3578880909951754,6.477
0.9669,0.7385,1.373464724066162,6.455
1.39541,0.72025,1.4184110001530774,6.411
1.23011,0.95562,1.4210443557805164,6.329
1.2074,0.88721,1.42025170650376,6.302
1.29098,0.8753,1.4126195359141702,6.298
1.55422,0.72492,1.4613560971906998,6.295
0.99534,0.6082,1.340954518123901,6.269
1.21183,0.61483,1.3611554571829874,6.168
0.76454,0.67737,1.2616718566448908,6.13
0.74553,0.64425,1.2734538731035214,6.123
